task,layer,tau,metric,mean,sem,n
push,2,7,pr,2.07063862880071,0.09910439957989314,30
push,2,8,pr,2.0999348282814028,0.11229000918180969,30
push,3,-8,speed,1.7256619215011597,0.11084108161542437,30
push,3,-7,speed,1.704891018072764,0.11740138868215753,30
push,3,-6,speed,1.7206973671913146,0.11491443533836672,30
push,3,-5,speed,1.7874375025431315,0.12892223699844715,30
push,3,-4,speed,1.7734197517236074,0.11777319842714151,30
push,3,-3,speed,1.80789066751798,0.1106639101521266,30
push,3,-2,speed,1.7756913820902507,0.11112636814344248,30
push,3,-1,speed,1.8748714605967203,0.12638104409172077,30
push,3,0,speed,1.815695877869924,0.12536433710139652,30
push,3,1,speed,1.7579081614812215,0.12601883660277685,30
push,3,2,speed,1.7737269163131715,0.11890340488958095,30
push,3,3,speed,1.7422488431135814,0.11038891216423312,30
push,3,4,speed,1.994579404592514,0.15761344116629222,30
push,3,5,speed,1.964093953371048,0.1687772639309475,30
push,3,6,speed,1.9543820381164552,0.1492249648735696,30
push,3,7,speed,2.021465750535329,0.15859726219168227,30
push,3,8,speed,2.0405945042769114,0.1390208882046862,30
push,3,-8,curvature,2.721880534975066,0.045520316511303754,30
push,3,-7,curvature,2.7559217488534316,0.045798373171088175,30
push,3,-6,curvature,2.7465857055216785,0.05787649852176078,30
push,3,-5,curvature,2.715428577561857,0.051318703757697155,30
push,3,-4,curvature,2.6531589601365853,0.06523383142617842,30
push,3,-3,curvature,2.7919382704465985,0.04046101886666703,30
push,3,-2,curvature,2.72018236714643,0.057530581705788744,30
push,3,-1,curvature,2.648415479172682,0.0570854490440844,30
push,3,0,curvature,2.6735241379725454,0.04744575888564046,30
push,3,1,curvature,2.612371780720603,0.05955498052752751,30
push,3,2,curvature,2.5306550778292523,0.07698156262580005,30
push,3,3,curvature,2.4632538771243913,0.08633269235029244,30
push,3,4,curvature,2.5412397459324776,0.07199378601588001,30
push,3,5,curvature,2.6146372281407606,0.06023709344019193,30
push,3,6,curvature,2.588945416373417,0.07063527557859052,30
push,3,7,curvature,2.70321534777745,0.06581112515163202,30
push,3,8,curvature,2.6402479822637996,0.05697951457184791,30
push,3,-8,tortuosity,8.833720556660893,0.7411409288732839,30
push,3,-7,tortuosity,8.717627404678916,0.6542069072441363,30
push,3,-6,tortuosity,8.706208187229041,0.7876369623376966,30
push,3,-5,tortuosity,9.049742574039678,0.7212197325926643,30
push,3,-4,tortuosity,8.37713881782883,0.8747575544506079,30
push,3,-3,tortuosity,7.868019810377409,0.5030322652104682,30
push,3,-2,tortuosity,7.87637867242172,0.6977243019613039,30
push,3,-1,tortuosity,7.574732545388512,0.5130189212272211,30
push,3,0,tortuosity,6.983377732355224,0.5858602936353491,30
push,3,1,tortuosity,6.943515452373608,0.7301714315505462,30
push,3,2,tortuosity,6.791113213252621,0.5469730995834465,30
push,3,3,tortuosity,6.535611929494978,0.5514820720961956,30
push,3,4,tortuosity,6.356574363413489,0.4420642054834494,30
push,3,5,tortuosity,7.0033901042945566,0.4711747061763253,30
push,3,6,tortuosity,7.0096152374255745,0.49669663052343804,30
push,3,7,tortuosity,6.891997965655961,0.387244398837754,30
push,3,8,tortuosity,7.250383573387149,0.5657073796251642,30
push,3,-8,pr,1.9790523807207743,0.08401574934739477,30
push,3,-7,pr,1.957314876715342,0.08481632106735759,30
push,3,-6,pr,1.9430440028508504,0.08800258037203157,30
push,3,-5,pr,1.9616406003634135,0.08861897162102869,30
push,3,-4,pr,1.9901697516441346,0.0846765161020253,30
push,3,-3,pr,2.036666802565257,0.07794578138669242,30
push,3,-2,pr,2.069634966055552,0.08468515485071383,30
push,3,-1,pr,2.1659278949101766,0.0929131599069235,30
push,3,0,pr,2.1869687676429748,0.09572353332863681,30
push,3,1,pr,2.2058570265769957,0.10243141367443057,30
push,3,2,pr,2.2598527034123737,0.11261813952500122,30
push,3,3,pr,2.2469106674194337,0.11993584480066923,30
push,3,4,pr,2.2558306376139323,0.1014008431626408,30
push,3,5,pr,2.2503769159317017,0.10364452801433034,30
push,3,6,pr,2.180733017126719,0.10702312248033845,30
push,3,7,pr,2.2032888253529865,0.0962904855080842,30
push,3,8,pr,2.242891776561737,0.11413676750269024,30
push,4,-8,speed,1.6435023506482442,0.09206771382141972,30
push,4,-7,speed,1.6527351538340251,0.10131908154572518,30
push,4,-6,speed,1.6537345846494038,0.09121922882329528,30
push,4,-5,speed,1.6878004213174185,0.10522212138837943,30
push,4,-4,speed,1.6477852980295817,0.09286238422886495,30
push,4,-3,speed,1.6948330680529275,0.09342928665007702,30
push,4,-2,speed,1.6643940091133118,0.09018312484898296,30
push,4,-1,speed,1.7405577937761942,0.10779519969408369,30
push,4,0,speed,1.6874688843886056,0.09098772292398986,30
push,4,1,speed,1.6488373756408692,0.09130031367864787,30
push,4,2,speed,1.6276311099529266,0.08710103309383661,30
push,4,3,speed,1.5886185387770335,0.08245200351181993,30
push,4,4,speed,1.8304196695486705,0.12238794855530938,30
push,4,5,speed,1.8339378138383229,0.13267675484408273,30
push,4,6,speed,1.8111834506193796,0.10349488574306605,30
push,4,7,speed,1.9228522102038066,0.11955278931978398,30
push,4,8,speed,1.8717377424240111,0.1044170514401951,30
