task,layer,group,rho1,energy,rank90,n_components
reach,3,pos,0.9172389355107223,1.5695646998629356,3,3
reach,3,vel,0.2802106086961072,0.10187361661576615,2,3
reach,3,acc,0.08044832526812765,0.011252310533374006,3,3
reach,3,ct,,,1,5
reach,4,pos,0.872285755871486,1.3556647887322024,3,3
reach,4,vel,0.22925191501058104,0.07304336243272898,2,3
reach,4,acc,0.18861102141593886,0.04084393447430548,2,3
reach,4,ct,,,1,5
reach,5,pos,0.8883263137961772,1.2760641627663503,2,3
reach,5,vel,0.2959191356835334,0.10768052312163769,2,3
reach,5,acc,0.1581358652183361,0.02834943335420286,2,3
reach,5,ct,,,1,5
reach,6,pos,0.9265409201562217,1.5899977945958321,3,3
reach,6,vel,0.3514308953893897,0.2025907894816934,2,3
reach,6,acc,0.1842179602281045,0.04288995319377986,2,3
reach,6,ct,,,1,5
reach,7,pos,0.9316241521623003,2.123106620233947,3,3
reach,7,vel,0.35883892464776296,0.21422163590436807,3,3
reach,7,acc,0.21212885970088288,0.06107156085810607,2,3
reach,7,ct,,,1,5
reach,8,pos,0.9384487298185558,2.3374690980268453,3,3
reach,8,vel,0.4324658631458035,0.28179266327811825,3,3
reach,8,acc,0.21929709889444277,0.06760517590135627,2,3
reach,8,ct,,,1,5
reach,9,pos,0.9493208750604163,2.439339655538637,3,3
reach,9,vel,0.37898419588961657,0.24305984062960861,3,3
reach,9,acc,0.2597340285881703,0.09153155366067532,3,3
reach,9,ct,,,1,5
reach,10,pos,0.9549911175266789,2.5345626039394458,3,3
reach,10,vel,0.4063776192613611,0.27842558260933403,3,3
reach,10,acc,0.30483304016556867,0.1203538401147132,2,3
reach,10,ct,,,1,5
reach,11,pos,0.9609736289778772,2.6114647693657695,3,3
reach,11,vel,0.4357411920913654,0.3034527579358402,3,3
reach,11,acc,0.33100525603677783,0.13714969718671496,2,3
reach,11,ct,,,1,5
reach,12,pos,0.9573843573042912,2.5782095871195816,3,3
reach,12,vel,0.43294602375190594,0.29206769498352947,3,3
reach,12,acc,0.3293983734752341,0.13455323281041376,2,3
reach,12,ct,,,1,5
reach,13,pos,0.9633316612124049,2.6170520375632225,3,3
reach,13,vel,0.5050323118248304,0.3733676196823484,3,3
reach,13,acc,0.41200465921858825,0.1938022662794806,2,3
reach,13,ct,,,1,5
reach,14,pos,0.9682975515547135,2.658083465486206,3,3
reach,14,vel,0.5367295544341619,0.40428409539662985,3,3
reach,14,acc,0.3989889810599658,0.18367640000193655,2,3
reach,14,ct,,,1,5
reach,15,pos,0.9608846979625124,2.6297806266952914,3,3
reach,15,vel,0.5207338247612385,0.37907533846242236,3,3
reach,15,acc,0.36608679018461604,0.15503723204247238,2,3
reach,15,ct,,,1,5
reach,16,pos,0.9610692616474975,2.6323526858848076,3,3
reach,16,vel,0.5371435579950204,0.4055467942124379,3,3
reach,16,acc,0.3827950275325344,0.16707668776005455,2,3
reach,16,ct,,,1,5
reach,17,pos,0.9627817274783311,2.6294788928737045,3,3
reach,17,vel,0.5143008974843768,0.38605534261267277,3,3
reach,17,acc,0.36686824935845397,0.15206057231204653,2,3
reach,17,ct,,,1,5
reach,18,pos,0.9642268363013218,2.6308407704155052,3,3
reach,18,vel,0.49125483279974747,0.3675993207322245,3,3
reach,18,acc,0.34344805956804264,0.1359438969132064,2,3
reach,18,ct,,,1,5
reach,19,pos,0.9704243442949148,2.655182809278932,3,3
reach,19,vel,0.45258431606553134,0.3174027547668698,3,3
reach,19,acc,0.3300427558634695,0.12652871001577012,2,3
reach,19,ct,,,1,5
reach,20,pos,0.9746550539669135,2.6469646646094644,3,3
reach,20,vel,0.46373354685061025,0.3340172487531087,3,3
reach,20,acc,0.31267743197979875,0.11573556246765143,2,3
reach,20,ct,,,1,5
reach,21,pos,0.9737549584376533,2.669949408278541,3,3
reach,21,vel,0.46500252030601036,0.3255962866727849,2,3
reach,21,acc,0.29744006396326084,0.10627592204788726,2,3
reach,21,ct,,,1,5
reach,22,pos,0.9674340740050114,2.611824006563617,3,3
reach,22,vel,0.4503050640063539,0.3244469925397141,2,3
reach,22,acc,0.28098277588403286,0.09761456293599083,2,3
reach,22,ct,,,1,5
reach,23,pos,0.9613624642347092,2.4922394729135773,3,3
reach,23,vel,0.39511816692649715,0.25869963543303237,2,3
