task,layer,slot,n_pcs_90,n_pcs_95
drawer,3,2,2,4
drawer,3,3,2,4
drawer,3,4,2,4
drawer,3,5,3,7
drawer,3,6,2,4
drawer,3,7,3,6
drawer,4,0,4,8
drawer,4,1,4,8
drawer,4,2,3,8
drawer,4,3,4,10
drawer,4,4,4,12
drawer,4,5,5,15
drawer,4,6,4,12
drawer,4,7,4,13
drawer,5,0,4,10
drawer,5,1,4,11
drawer,5,2,4,10
drawer,5,3,5,13
drawer,5,4,5,14
drawer,5,5,6,16
drawer,5,6,5,14
drawer,5,7,4,10
drawer,6,0,7,16
drawer,6,1,6,16
drawer,6,2,6,15
drawer,6,3,7,17
drawer,6,4,9,21
drawer,6,5,10,25
drawer,6,6,8,21
drawer,6,7,5,13
drawer,7,0,9,25
drawer,7,1,9,25
drawer,7,2,7,18
drawer,7,3,10,27
drawer,7,4,11,31
drawer,7,5,14,37
drawer,7,6,10,28
drawer,7,7,8,22
drawer,8,0,12,38
drawer,8,1,13,40
drawer,8,2,9,28
drawer,8,3,14,43
drawer,8,4,18,55
drawer,8,5,23,64
drawer,8,6,15,46
drawer,8,7,15,45
drawer,9,0,19,57
drawer,9,1,23,64
drawer,9,2,15,44
drawer,9,3,25,64
drawer,9,4,32,64
drawer,9,5,35,64
drawer,9,6,24,64
drawer,9,7,22,55
drawer,10,0,25,64
drawer,10,1,30,64
drawer,10,2,17,49
drawer,10,3,32,64
drawer,10,4,35,64
drawer,10,5,35,64
drawer,10,6,30,64
drawer,10,7,20,51
drawer,11,0,27,64
drawer,11,1,35,64
drawer,11,2,17,52
drawer,11,3,34,64
drawer,11,4,42,64
drawer,11,5,41,64
drawer,11,6,32,64
drawer,11,7,21,56
drawer,12,0,29,64
drawer,12,1,37,64
drawer,12,2,17,53
drawer,12,3,36,64
drawer,12,4,45,64
drawer,12,5,44,64
drawer,12,6,34,64
drawer,12,7,22,60
drawer,13,0,31,64
drawer,13,1,38,64
drawer,13,2,19,58
drawer,13,3,40,64
drawer,13,4,46,64
drawer,13,5,42,64
drawer,13,6,36,64
drawer,13,7,20,56
drawer,14,0,27,64
drawer,14,1,34,64
drawer,14,2,17,52
drawer,14,3,40,64
drawer,14,4,44,64
drawer,14,5,40,64
drawer,14,6,34,64
drawer,14,7,18,48
drawer,15,0,27,64
drawer,15,1,36,64
drawer,15,2,17,50
drawer,15,3,42,64
drawer,15,4,45,64
drawer,15,5,38,64
drawer,15,6,34,64
drawer,15,7,16,42
drawer,16,0,28,64
drawer,16,1,36,64
drawer,16,2,17,50
drawer,16,3,43,64
drawer,16,4,46,64
drawer,16,5,37,64
drawer,16,6,35,64
drawer,16,7,14,36
drawer,17,0,27,64
drawer,17,1,36,64
drawer,17,2,18,51
drawer,17,3,41,64
drawer,17,4,45,64
drawer,17,5,38,64
drawer,17,6,33,64
drawer,17,7,12,31
drawer,18,0,31,64
drawer,18,1,38,64
drawer,18,2,17,49
drawer,18,3,45,64
drawer,18,4,49,64
drawer,18,5,39,64
drawer,18,6,34,64
drawer,18,7,11,29
drawer,19,0,31,64
drawer,19,1,38,64
drawer,19,2,18,49
drawer,19,3,45,64
drawer,19,4,47,64
drawer,19,5,37,64
drawer,19,6,35,64
drawer,19,7,11,28
drawer,20,0,31,64
drawer,20,1,39,64
drawer,20,2,18,50
drawer,20,3,47,64
drawer,20,4,48,64
drawer,20,5,38,64
drawer,20,6,37,64
drawer,20,7,11,29
drawer,21,0,36,64
drawer,21,1,45,64
drawer,21,2,21,59
drawer,21,3,54,64
drawer,21,4,54,64
drawer,21,5,42,64
drawer,21,6,44,64
drawer,21,7,12,32
drawer,22,0,38,64
drawer,22,1,51,64
drawer,22,2,25,64
drawer,22,3,59,64
drawer,22,4,59,64
drawer,22,5,46,64
drawer,22,6,50,64
drawer,22,7,13,37
drawer,23,0,40,64
drawer,23,1,54,64
drawer,23,2,28,64
drawer,23,3,59,64
drawer,23,4,57,64
drawer,23,5,46,64
drawer,23,6,50,64
drawer,23,7,14,40
peg_insert,0,0,21,37
peg_insert,0,1,21,37
peg_insert,0,2,21,37
peg_insert,0,3,21,37
peg_insert,0,4,21,37
peg_insert,0,5,20,36
peg_insert,0,6,20,36
peg_insert,0,7,20,36
peg_insert,1,0,19,38
peg_insert,1,1,19,37
peg_insert,1,2,19,37
peg_insert,1,3,19,36
peg_insert,1,4,19,36
peg_insert,1,5,19,36
peg_insert,1,6,19,36
peg_insert,1,7,19,36
peg_insert,2,0,6,17
peg_insert,2,1,5,15
peg_insert,2,2,5,14
peg_insert,2,3,5,15
peg_insert,2,4,6,16
peg_insert,2,5,5,15
peg_insert,2,6,6,16
peg_insert,2,7,6,16
peg_insert,3,0,7,19
peg_insert,3,1,5,15
peg_insert,3,2,5,15
peg_insert,3,3,6,18
peg_insert,3,4,9,23
peg_insert,3,5,10,25
peg_insert,3,6,7,20
peg_insert,3,7,10,25
peg_insert,4,0,13,34
peg_insert,4,1,11,29
peg_insert,4,2,11,31
peg_insert,4,3,14,36
peg_insert,4,4,18,46
peg_insert,4,5,20,52
peg_insert,4,6,19,48
peg_insert,4,7,21,54
peg_insert,5,0,18,45
peg_insert,5,1,15,38
peg_insert,5,2,17,43
peg_insert,5,3,19,48
peg_insert,5,4,21,51
peg_insert,5,5,21,55
peg_insert,5,6,23,59
peg_insert,5,7,23,59
peg_insert,6,0,24,57
peg_insert,6,1,20,50
peg_insert,6,2,22,54
peg_insert,6,3,23,57
peg_insert,6,4,27,64
peg_insert,6,5,28,64
peg_insert,6,6,29,64
peg_insert,6,7,28,64
peg_insert,7,0,33,64
peg_insert,7,1,28,64
peg_insert,7,2,27,64
peg_insert,7,3,34,64
peg_insert,7,4,37,64
peg_insert,7,5,39,64
peg_insert,7,6,39,64
peg_insert,7,7,38,64
peg_insert,8,0,45,64
peg_insert,8,1,39,64
peg_insert,8,2,40,64
peg_insert,8,3,46,64
peg_insert,8,4,50,64
peg_insert,8,5,49,64
peg_insert,8,6,52,64
peg_insert,8,7,56,64
peg_insert,9,0,44,64
peg_insert,9,1,44,64
peg_insert,9,2,42,64
peg_insert,9,3,48,64
peg_insert,9,4,48,64
peg_insert,9,5,48,64
peg_insert,9,6,48,64
peg_insert,9,7,52,64
peg_insert,10,0,52,64
peg_insert,10,1,51,64
peg_insert,10,2,48,64
peg_insert,10,3,54,64
peg_insert,10,4,55,64
peg_insert,10,5,54,64
peg_insert,10,6,55,64
peg_insert,10,7,57,64
peg_insert,11,0,56,64
peg_insert,11,1,56,64
peg_insert,11,2,51,64
peg_insert,11,3,60,64
peg_insert,11,4,58,64
peg_insert,11,5,57,64
peg_insert,11,6,58,64
peg_insert,11,7,59,64
peg_insert,12,0,57,64
peg_insert,12,1,49,64
peg_insert,12,2,45,64
