task,layer,slot,target,r2_mean,r2_std
push,6,2,ee_velocity,0.7967595815658569,0.05816675206982087
push,6,2,ee_acceleration,-0.519426953792572,0.1877592000010114
push,6,2,contact_flag,0.3575434684753418,0.1066145468787479
push,6,2,contact_force_log1p_mag,0.08049089908599853,0.4182287668646012
push,6,3,ee_position,0.8568916082382202,0.17333565326235684
push,6,3,ee_velocity,0.7625049352645874,0.08923917734251155
push,6,3,ee_acceleration,-0.4737911939620972,0.19767108781887924
push,6,3,contact_flag,0.3432390809059143,0.15585314124124927
push,6,3,contact_force_log1p_mag,0.13494930267333985,0.372295159792127
push,6,4,ee_position,0.8378352582454681,0.1992049209754604
push,6,4,ee_velocity,0.8053083658218384,0.05183734504835175
push,6,4,ee_acceleration,-0.541740670800209,0.29712871007418246
push,6,4,contact_flag,0.3478924870491028,0.12255326644804374
push,6,4,contact_force_log1p_mag,0.007370913028717041,0.4466139332849124
push,6,5,ee_position,0.8407590746879577,0.2002842737003145
push,6,5,ee_velocity,0.8227273941040039,0.05756558797390263
push,6,5,ee_acceleration,-0.42578720971941947,0.2796879621082259
push,6,5,contact_flag,0.35416528582572937,0.17073943524924157
push,6,5,contact_force_log1p_mag,-0.06847316026687622,0.4857134430942111
push,6,6,ee_position,0.844662481546402,0.2029327433714615
push,6,6,ee_velocity,0.8524269461631775,0.052916204265004436
push,6,6,ee_acceleration,-0.3220086727291346,0.22411530649489292
push,6,6,contact_flag,0.36489629149436953,0.19674877922617054
push,6,6,contact_force_log1p_mag,0.13094555139541625,0.42705199863265986
push,6,7,ee_position,0.8470756471157074,0.1954740608508959
push,6,7,ee_velocity,0.8865139007568359,0.055927489020396515
push,6,7,ee_acceleration,-0.2240295320749283,0.16361134911306152
push,6,7,contact_flag,0.3867915868759155,0.1733038191168969
push,6,7,contact_force_log1p_mag,0.1313140869140625,0.3897353606385732
push,7,0,ee_position,0.8525016903877258,0.1735571692214065
push,7,0,ee_velocity,0.7975999116897583,0.06881501936007234
push,7,0,ee_acceleration,-0.5917975604534149,0.2103091929145542
push,7,0,contact_flag,0.3204324543476105,0.14072752883576464
push,7,0,contact_force_log1p_mag,0.10067669153213502,0.3719651659707914
push,7,1,ee_position,0.8548544049263,0.175036787595422
push,7,1,ee_velocity,0.804760468006134,0.046708047813192315
push,7,1,ee_acceleration,-0.5423169314861298,0.16292993071423714
push,7,1,contact_flag,0.24514420032501222,0.25276931368571814
push,7,1,contact_force_log1p_mag,-0.040942800045013425,0.5804235680011205
push,7,2,ee_position,0.8515074789524079,0.18813086198226125
push,7,2,ee_velocity,0.7979177355766296,0.06127535089305039
push,7,2,ee_acceleration,-0.592837905883789,0.2429868665969954
push,7,2,contact_flag,0.2400342583656311,0.20279167911393023
push,7,2,contact_force_log1p_mag,-0.10925307273864746,0.5424558746080571
push,7,3,ee_position,0.8543941259384156,0.18765643019422382
push,7,3,ee_velocity,0.8030312061309814,0.05907757455201481
push,7,3,ee_acceleration,-0.505190446972847,0.20700481801362136
push,7,3,contact_flag,0.3965904116630554,0.15652294293900335
push,7,3,contact_force_log1p_mag,0.15574852228164673,0.4085791885398839
push,7,4,ee_position,0.8516255199909211,0.1850395212130994
push,7,4,ee_velocity,0.8201151013374328,0.04610031811357492
