task,layer,target,scheme,scheme_param,r2_mean,r2_std
push,15,obj_acceleration,prefix,7,-2.7620332717895506,0.8044848202480391
push,15,obj_acceleration,reverse,-1,-2.7646484375,0.8211361167745417
push,15,obj_acceleration,random_global_perm,-1,-2.768566870689392,0.8265880399164184
push,15,obj_acceleration,random_per_sample,-2,-2.1948794603347777,0.6764650848374301
push,15,contact_flag,baseline_full,-1,0.17892444133758545,0.18796669421205187
push,15,contact_flag,mean_over_slots,-1,0.528951895236969,0.13839417292839482
push,15,contact_flag,single_slot,0,0.5597537279129028,0.13383380768075
push,15,contact_flag,single_slot,3,0.5707373738288879,0.08561908146385015
push,15,contact_flag,single_slot,7,0.5269456148147583,0.17637951905420768
push,15,contact_flag,prefix,0,0.5597950339317321,0.13380532345381432
push,15,contact_flag,prefix,3,0.22865429520606995,0.11714755681759238
push,15,contact_flag,prefix,7,0.17892444133758545,0.18796669421205187
push,15,contact_flag,reverse,-1,0.17345625162124634,0.18587539239059958
push,15,contact_flag,random_global_perm,-1,0.17680968046188356,0.18408457529577477
push,15,contact_flag,random_per_sample,-2,0.3294081211090088,0.17504699980778693
push,15,contact_force_log1p_mag,baseline_full,-1,-0.3735082149505615,0.6520564105105849
push,15,contact_force_log1p_mag,mean_over_slots,-1,0.3727825045585632,0.21669655111281844
push,15,contact_force_log1p_mag,single_slot,0,0.35723512172698973,0.3190887970808968
push,15,contact_force_log1p_mag,single_slot,3,0.2957861065864563,0.2947960082883503
push,15,contact_force_log1p_mag,single_slot,7,0.27849682569503786,0.294911762619055
push,15,contact_force_log1p_mag,prefix,0,0.3571945548057556,0.3191317645284838
push,15,contact_force_log1p_mag,prefix,3,-0.2824393272399902,0.8293676866456589
push,15,contact_force_log1p_mag,prefix,7,-0.3735082149505615,0.6520564105105849
push,15,contact_force_log1p_mag,reverse,-1,-0.3814788579940796,0.6588992991247038
push,15,contact_force_log1p_mag,random_global_perm,-1,-0.38358227014541624,0.6667199608457594
push,15,contact_force_log1p_mag,random_per_sample,-2,-0.029435551166534422,0.4765035844947614
push,17,ee_acceleration,baseline_full,-1,-1.4972513794898987,0.8880751666279122
push,17,ee_acceleration,mean_over_slots,-1,-0.3204809084534645,0.2549408085593046
push,17,ee_acceleration,single_slot,0,-0.30256889909505846,0.24070857015411795
push,17,ee_acceleration,single_slot,3,-0.22293328773230314,0.23305998121996274
push,17,ee_acceleration,single_slot,7,0.10856243073940278,0.20736055251767088
push,17,ee_acceleration,prefix,0,-0.3024280458688736,0.24066993421795818
push,17,ee_acceleration,prefix,3,-1.9212265729904174,0.5328997305886408
push,17,ee_acceleration,prefix,7,-1.4972513794898987,0.8880751666279122
push,17,ee_acceleration,reverse,-1,-1.5239918112754822,0.9183689835117625
push,17,ee_acceleration,random_global_perm,-1,-1.4929545640945434,0.8671016160035414
push,17,ee_acceleration,random_per_sample,-2,-1.3313548922538758,0.4169808757834203
push,17,obj_acceleration,baseline_full,-1,-2.4394554615020754,0.7953748219641014
push,17,obj_acceleration,mean_over_slots,-1,-0.7663405388593674,0.49477258076218744
push,17,obj_acceleration,single_slot,0,-0.527474558353424,0.3631090017728663
push,17,obj_acceleration,single_slot,3,-0.5108366847038269,0.2937508471077308
push,17,obj_acceleration,single_slot,7,-0.4620497524738312,0.3795016402419807
push,17,obj_acceleration,prefix,0,-0.5275477528572082,0.3631894182714662
push,17,obj_acceleration,prefix,3,-2.8856884956359865,1.1591886654397374
push,17,obj_acceleration,prefix,7,-2.4394554615020754,0.7953748219641014
push,17,obj_acceleration,reverse,-1,-2.441550946235657,0.810624798678276
push,17,obj_acceleration,random_global_perm,-1,-2.442429518699646,0.8053455120577249
