family,target,task,variant,model_label,peak_r2,peak_layer
contact_force_integral,contact_force_log1p_mag__integral,peg_insert,variant_B_videomae_large,VideoMAE B,,-1
contact_force_integral,contact_force_log1p_mag__integral,peg_insert,variant_A_dinov2_large,DINOv2 A,0.7908620357513427,17
contact_force_integral,contact_force_log1p_mag__integral,nut_thread,variant_A,V-JEPA A,0.6077120304107666,20
contact_force_integral,contact_force_log1p_mag__integral,nut_thread,variant_B,V-JEPA B,,-1
contact_force_integral,contact_force_log1p_mag__integral,nut_thread,variant_A_videomae_large,VideoMAE A,,-1
contact_force_integral,contact_force_log1p_mag__integral,nut_thread,variant_B_videomae_large,VideoMAE B,,-1
contact_force_integral,contact_force_log1p_mag__integral,nut_thread,variant_A_dinov2_large,DINOv2 A,0.42838435173034667,8
timing_velocity,ee_velocity__peak_time_frac,push,variant_A,V-JEPA A,0.6448979020118714,20
timing_velocity,ee_velocity__peak_time_frac,push,variant_B,V-JEPA B,0.6867489814758301,19
timing_velocity,ee_velocity__peak_time_frac,push,variant_A_videomae_large,VideoMAE A,0.6216317296028138,20
timing_velocity,ee_velocity__peak_time_frac,push,variant_B_videomae_large,VideoMAE B,0.6797631978988647,22
timing_velocity,ee_velocity__peak_time_frac,push,variant_A_dinov2_large,DINOv2 A,0.5640344381332397,17
timing_velocity,ee_velocity__peak_time_frac,strike,variant_A,V-JEPA A,0.6977169990539551,17
timing_velocity,ee_velocity__peak_time_frac,strike,variant_B,V-JEPA B,0.6494345545768738,4
timing_velocity,ee_velocity__peak_time_frac,strike,variant_A_videomae_large,VideoMAE A,,-1
timing_velocity,ee_velocity__peak_time_frac,strike,variant_B_videomae_large,VideoMAE B,,-1
timing_velocity,ee_velocity__peak_time_frac,strike,variant_A_dinov2_large,DINOv2 A,0.612202787399292,20
timing_velocity,ee_velocity__peak_time_frac,drawer,variant_A,V-JEPA A,0.2180852890014648,16
timing_velocity,ee_velocity__peak_time_frac,drawer,variant_B,V-JEPA B,0.21289768218994137,1
timing_velocity,ee_velocity__peak_time_frac,drawer,variant_A_videomae_large,VideoMAE A,0.21496032476425167,14
timing_velocity,ee_velocity__peak_time_frac,drawer,variant_B_videomae_large,VideoMAE B,0.2697831034660339,1
timing_velocity,ee_velocity__peak_time_frac,drawer,variant_A_dinov2_large,DINOv2 A,0.17118184566497802,3
timing_velocity,ee_velocity__peak_time_frac,reach,variant_A,V-JEPA A,0.30283395051956175,14
timing_velocity,ee_velocity__peak_time_frac,reach,variant_B,V-JEPA B,0.20108561515808102,3
timing_velocity,ee_velocity__peak_time_frac,reach,variant_A_videomae_large,VideoMAE A,,-1
timing_velocity,ee_velocity__peak_time_frac,reach,variant_B_videomae_large,VideoMAE B,,-1
timing_velocity,ee_velocity__peak_time_frac,reach,variant_A_dinov2_large,DINOv2 A,0.19740831851959229,17
timing_velocity,ee_velocity__peak_time_frac,peg_insert,variant_A,V-JEPA A,0.13530054092407223,18
timing_velocity,ee_velocity__peak_time_frac,peg_insert,variant_B,V-JEPA B,,-1
timing_velocity,ee_velocity__peak_time_frac,peg_insert,variant_A_videomae_large,VideoMAE A,,-1
timing_velocity,ee_velocity__peak_time_frac,peg_insert,variant_B_videomae_large,VideoMAE B,,-1
timing_velocity,ee_velocity__peak_time_frac,peg_insert,variant_A_dinov2_large,DINOv2 A,0.03441025018692012,17
timing_velocity,ee_velocity__peak_time_frac,nut_thread,variant_A,V-JEPA A,0.1023080229759216,18
timing_velocity,ee_velocity__peak_time_frac,nut_thread,variant_B,V-JEPA B,,-1
timing_velocity,ee_velocity__peak_time_frac,nut_thread,variant_A_videomae_large,VideoMAE A,,-1
timing_velocity,ee_velocity__peak_time_frac,nut_thread,variant_B_videomae_large,VideoMAE B,,-1
timing_velocity,ee_velocity__peak_time_frac,nut_thread,variant_A_dinov2_large,DINOv2 A,0.02741465568542476,8
timing_first_event,contact_flag__first_event_time_frac,push,variant_A,V-JEPA A,0.8608716249465942,21
timing_first_event,contact_flag__first_event_time_frac,push,variant_B,V-JEPA B,0.8581495881080627,21
timing_first_event,contact_flag__first_event_time_frac,push,variant_A_videomae_large,VideoMAE A,0.8405845165252686,19
timing_first_event,contact_flag__first_event_time_frac,push,variant_B_videomae_large,VideoMAE B,0.8418863892555237,22
timing_first_event,contact_flag__first_event_time_frac,push,variant_A_dinov2_large,DINOv2 A,0.8475810050964355,21
timing_first_event,contact_flag__first_event_time_frac,strike,variant_A,V-JEPA A,0.9080853819847107,20
timing_first_event,contact_flag__first_event_time_frac,strike,variant_B,V-JEPA B,0.8093684434890747,3
timing_first_event,contact_flag__first_event_time_frac,strike,variant_A_videomae_large,VideoMAE A,,-1
timing_first_event,contact_flag__first_event_time_frac,strike,variant_B_videomae_large,VideoMAE B,,-1
timing_first_event,contact_flag__first_event_time_frac,strike,variant_A_dinov2_large,DINOv2 A,0.8835270285606385,21
timing_first_event,contact_flag__first_event_time_frac,drawer,variant_A,V-JEPA A,0.829759132862091,14
timing_first_event,contact_flag__first_event_time_frac,drawer,variant_B,V-JEPA B,0.7733361840248107,1
timing_first_event,contact_flag__first_event_time_frac,drawer,variant_A_videomae_large,VideoMAE A,0.8518566966056824,6
timing_first_event,contact_flag__first_event_time_frac,drawer,variant_B_videomae_large,VideoMAE B,0.8666469097137451,1
timing_first_event,contact_flag__first_event_time_frac,drawer,variant_A_dinov2_large,DINOv2 A,0.8172314524650574,14
timing_first_event,contact_flag__first_event_time_frac,reach,variant_A,V-JEPA A,,-1
timing_first_event,contact_flag__first_event_time_frac,reach,variant_B,V-JEPA B,,-1
timing_first_event,contact_flag__first_event_time_frac,reach,variant_A_videomae_large,VideoMAE A,,-1
timing_first_event,contact_flag__first_event_time_frac,reach,variant_B_videomae_large,VideoMAE B,,-1
timing_first_event,contact_flag__first_event_time_frac,reach,variant_A_dinov2_large,DINOv2 A,,-1
timing_first_event,contact_flag__first_event_time_frac,peg_insert,variant_A,V-JEPA A,0.6,0
timing_first_event,contact_flag__first_event_time_frac,peg_insert,variant_B,V-JEPA B,,-1
timing_first_event,contact_flag__first_event_time_frac,peg_insert,variant_A_videomae_large,VideoMAE A,,-1
timing_first_event,contact_flag__first_event_time_frac,peg_insert,variant_B_videomae_large,VideoMAE B,,-1
timing_first_event,contact_flag__first_event_time_frac,peg_insert,variant_A_dinov2_large,DINOv2 A,0.0,0
timing_first_event,contact_flag__first_event_time_frac,nut_thread,variant_A,V-JEPA A,1.0,0
timing_first_event,contact_flag__first_event_time_frac,nut_thread,variant_B,V-JEPA B,,-1
timing_first_event,contact_flag__first_event_time_frac,nut_thread,variant_A_videomae_large,VideoMAE A,,-1
timing_first_event,contact_flag__first_event_time_frac,nut_thread,variant_B_videomae_large,VideoMAE B,,-1
timing_first_event,contact_flag__first_event_time_frac,nut_thread,variant_A_dinov2_large,DINOv2 A,0.8,0
