task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,26,surface_static_friction,static,0.048621,0.033723,1500
push,26,surface_dynamic_friction,static,0.145727,0.027311,1500
push,26,ee_velocity,dynamic,0.978048,0.003204,1500
push,26,ee_acceleration,dynamic,0.799533,0.017305,1500
push,26,ee_angular_velocity,dynamic,0.964848,0.005835,1500
push,26,object_velocity,dynamic,0.377482,0.375431,1500
push,26,object_acceleration,dynamic,0.562338,0.046715,1500
push,26,object_angular_velocity,dynamic,0.578351,0.037919,1500
push,26,ee_to_object_distance,dynamic,0.580285,0.019153,1500
push,26,object_to_target_distance,dynamic,0.0,0.0,1500
push,26,object_on_surface,dynamic,0.682215,0.027753,1500
push,26,contact_flag,dynamic,0.0,0.0,1500
push,26,contact_force,dynamic,0.0,0.0,1500
push,26,phase,dynamic,0.0,0.0,1500
push,27,object_0_mass,static,0.101602,0.050158,1500
push,27,object_0_static_friction,static,0.01943,0.018229,1500
push,27,object_0_dynamic_friction,static,0.006546,0.033393,1500
push,27,surface_static_friction,static,0.043964,0.029682,1500
push,27,surface_dynamic_friction,static,0.141884,0.033017,1500
push,27,ee_velocity,dynamic,0.978004,0.002599,1500
push,27,ee_acceleration,dynamic,0.79192,0.020231,1500
push,27,ee_angular_velocity,dynamic,0.968686,0.004446,1500
push,27,object_velocity,dynamic,0.3518,0.389746,1500
push,27,object_acceleration,dynamic,0.561873,0.047878,1500
push,27,object_angular_velocity,dynamic,0.584486,0.034189,1500
push,27,ee_to_object_distance,dynamic,0.564913,0.027735,1500
push,27,object_to_target_distance,dynamic,0.0,0.0,1500
push,27,object_on_surface,dynamic,0.677727,0.040697,1500
push,27,contact_flag,dynamic,0.0,0.0,1500
push,27,contact_force,dynamic,0.0,0.0,1500
push,27,phase,dynamic,0.0,0.0,1500
push,28,object_0_mass,static,0.124984,0.060498,1500
push,28,object_0_static_friction,static,0.014699,0.01378,1500
push,28,object_0_dynamic_friction,static,0.013476,0.0378,1500
push,28,surface_static_friction,static,0.045019,0.029676,1500
push,28,surface_dynamic_friction,static,0.143266,0.028224,1500
push,28,ee_velocity,dynamic,0.978758,0.003014,1500
push,28,ee_acceleration,dynamic,0.806506,0.020596,1500
push,28,ee_angular_velocity,dynamic,0.969511,0.004374,1500
push,28,object_velocity,dynamic,0.399765,0.331673,1500
