task,layer,param,fold,r2,n_train_eps,n_test_eps
push,17,surface_dynamic_friction,0,-0.6330194473266602,160,40
push,17,surface_dynamic_friction,1,-1.1740198135375977,160,40
push,17,surface_dynamic_friction,2,-1.441070556640625,160,40
push,17,surface_dynamic_friction,3,-0.4982701539993286,160,40
push,17,surface_dynamic_friction,4,-0.3376983404159546,160,40
push,18,object_0_mass,0,-0.6925979852676392,160,40
push,18,object_0_mass,1,-1.041623830795288,160,40
push,18,object_0_mass,2,-2.4679758548736572,160,40
push,18,object_0_mass,3,-0.844267725944519,160,40
push,18,object_0_mass,4,-1.0678489208221436,160,40
push,18,object_0_static_friction,0,-1.6093707084655762,160,40
push,18,object_0_static_friction,1,-0.47569739818573,160,40
push,18,object_0_static_friction,2,-0.8422471284866333,160,40
push,18,object_0_static_friction,3,-0.49009764194488525,160,40
push,18,object_0_static_friction,4,-0.33646655082702637,160,40
push,18,object_0_dynamic_friction,0,-1.4121196269989014,160,40
push,18,object_0_dynamic_friction,1,-0.5391724109649658,160,40
push,18,object_0_dynamic_friction,2,-0.6350454092025757,160,40
push,18,object_0_dynamic_friction,3,-0.8087389469146729,160,40
push,18,object_0_dynamic_friction,4,-0.37850260734558105,160,40
push,18,surface_static_friction,0,-1.337723731994629,160,40
push,18,surface_static_friction,1,-1.4222750663757324,160,40
push,18,surface_static_friction,2,-0.9597905874252319,160,40
push,18,surface_static_friction,3,-0.3339381217956543,160,40
push,18,surface_static_friction,4,-0.8091282844543457,160,40
push,18,surface_dynamic_friction,0,-0.45862364768981934,160,40
push,18,surface_dynamic_friction,1,-1.7183289527893066,160,40
push,18,surface_dynamic_friction,2,-1.567258596420288,160,40
push,18,surface_dynamic_friction,3,-0.8048398494720459,160,40
push,18,surface_dynamic_friction,4,-0.5730686187744141,160,40
